image,name,price
https://ostore.kg//upload/resize_cache/iblock/f0d/220_200_1/1Blue.jpg,Tecno Spark 5 Pro,11900 c 
https://ostore.kg//upload/resize_cache/iblock/7df/220_200_1/1Gold.jpg,Tecno Camon 15,14500 c 
https://ostore.kg//upload/resize_cache/iblock/a73/220_200_1/1Blue.jpg,Tecno Camon 12 Air,12500 c 
https://ostore.kg//upload/resize_cache/iblock/ac6/220_200_1/1Black.JPG,Tecno Pop 3,6300 c 
https://ostore.kg//upload/resize_cache/iblock/5a4/220_200_1/1Black.jpg,Tecno Pop 4 Pro,7900 c 
https://ostore.kg//upload/resize_cache/iblock/376/220_200_1/1Blue.jpg,Tecno Spark 6 Go,10700 c 
https://ostore.kg//upload/resize_cache/iblock/667/220_200_1/2Black.jpg,Tecno Spark 6,14500 c 
https://ostore.kg//upload/resize_cache/iblock/442/220_200_1/1White.jpg,Tecno Camon 16 SE,21900 c 
https://ostore.kg//upload/resize_cache/iblock/de8/220_200_1/1Black.jpg,Itel Vision 1 Pro,8500 c 
https://ostore.kg//upload/resize_cache/iblock/3fd/220_200_1/1Blue.JPG,Tecno Spark 5 Air,9900 c 
https://ostore.kg//upload/resize_cache/iblock/0b4/220_200_1/1Black.jpg,Blackview A80 Plus,15900 c 
https://ostore.kg//upload/resize_cache/iblock/36e/220_200_1/1Grey.JPG,Blackview BL6000 Pro 5G,53900 c 
https://ostore.kg//upload/resize_cache/iblock/fad/220_200_1/1Black.JPG,Blackview BV4900 Pro,14900 c 
https://ostore.kg//upload/resize_cache/iblock/ee7/220_200_1/1Black.JPG,Blackview BV5100,21900 c 
https://ostore.kg//upload/resize_cache/iblock/988/220_200_1/1Black.JPG,Blackview BV5500 Plus,12900 c 
https://ostore.kg//upload/resize_cache/iblock/d66/220_200_1/1Black.jpg,Blackview BV6300,16900 c 
https://ostore.kg//upload/resize_cache/iblock/a73/220_200_1/1Black.JPG,Blackview BV6300 Pro,23900 c 
https://ostore.kg//upload/resize_cache/iblock/038/220_200_1/1Silver.JPG,Blackview BV9100,24900 c 
https://ostore.kg//upload/resize_cache/iblock/934/220_200_1/0BlackGrey.jpg,Blackview BV9900 Pro,55900 c 
https://ostore.kg//upload/resize_cache/iblock/33c/220_200_1/1Grey.JPG,Планшет Blackview Tab 8,19900 c 
